title,content
濾能公司簡介,"濾能擁有AMC微污染控制的領先技術，提供專業AMC微污染防治方案，為半導體化學濾網製造商。透過產品模組化的組合式設計，達成3R的目標(濾網廢棄物減量/框體重複使用/濾網再生重複使用)，降低濾網整體的購置成本；濾能模組化框體榮獲環保署第二類環保標章認證及玉山獎最佳產品類肯定，為業界首例。並通過BS 8001:2017循環經濟查核，持續提出顛覆業界傳統思維之創新產品！
"
客戶肯定- Customer Affirmation,多年來，濾能獲得廣大客群的高度肯定，從全球晶圓代工大廠，面板廠到DRAM廠，在ESG的全球趨勢下，濾能的3R目標完全符合「綠能、循環及再利用」的產品理念，幫助客戶獲取最大產品價值。其中，產品尤以12吋先進製程的供應量為大宗，供應客戶客製化的規格需求，並加速研發應用於次世代先進製程的新產品，我們以成為「半導體先進製程關鍵耗材供應商」為公司成長的願景及目標。
業界首創實蹟- Achievement,「濾能模組化框體」榮獲「環保署第二類環保標章認證」及「玉山獎最佳產品類」肯定，為業界首例。同時，創設「國內第一家化學濾網實驗室」，引領業界提升濾網專業檢測的水平；同時，濾能通過「BS 8001:2017循環經濟查核」，持續提出顛覆業界傳統思維之創新產品! 在ESG的未來發展趨勢下，濾能全力支持永續發展且不缺席!
濾能願景,"濾能秉持「Go Clean, Think Green」的願景與核心價值主張，期許自己不只是銷售濾網產品的公司，更要成為前瞻的「全球性綠色企業」，藉由各項極致減碳的永續行動，與這片土地做最友善的連結，並攜手各界永續發展夥伴持續尋求綠色動能與解方，共創淨零未來！"
濾能核心價值主張,"濾能秉持著「 Go Clean, Think Green」的企業理念及「以終為始、目標導向、聚焦結果、要事第一、共贏」的企業宗旨，專注於企業永續經營及企業社會責任的投入。以終為始：確保在對的道路上奔跑目標導向：讓同仁更好、讓團隊更卓越聚焦結果：一個人的成就變成一群人的成就要事第一：促進業績之關鍵要因共贏：客戶贏﹑環境贏，成爲一家全球性的綠色企業"
企業3R精神,"濾能的獨家專利主要在「模組化化學濾網應用」，針對減少濾網廢棄物及降低化學濾網的成本支出為公司理念。使3R（Reduce/Reuse/Recycle）為品牌目標,大幅減少碳足跡，亦是對環境友善的綠色產品，未來也將持續深耕台灣，同時穩健邁步國際市場。
"
化學濾網是什麼?,"化學濾網是一種常見的過濾系統，它可以去除空氣或其他流體中的化學污染物質，對客戶來說非常重要，它們可以保護客戶免受污染物質的傷害，同時保護機器和設備免受污染物質的損害。在現代社會，低碳環保已成為人們關注的熱門話題之一。企業在生產過程中也需要考慮如何降低碳排放，以減少對環境的影響。
"
02 化學濾網的主要功能為何?,"在生產過程當中，化學污染物質可能會對產品質量造成負面影響。這些氣體污染物質可能會使產品的不良率升高、表面污染或其他缺陷。因此，化學濾網可以過濾掉污染物質，提升良率。同時，化學濾網可以有效地減少生產過程中對環境的污染亦可減少生產過程中的浪費和成本，進一步降低碳排放。
"
03 選擇化學濾網的要素是哪些?,"1．應用領域和污染物質
一般在選擇化學濾網時，需要根據應用領域和污染物質來確定所需要的濾材種類和過濾效率。不同的應用領域和污染物質需要不同種類的濾材，如有機氣體、無機氣體、臭氧、粉塵等。需要根據具體的情況選擇濾材種類和過濾效率，以保證濾網可以有效地過濾污染物質。

2．系統的要求和限制
其次，需要考慮過濾系統的要求和限制，如流量、壓力、溫度等。不同的過濾系統具有不同的要求和限制，需要選擇適合的化學濾網，以保證過濾系統能夠正常運行，並且過濾效果符合要求。

3．壽命和更換周期
濾網的壽命和更換周期也是考量的重點之一，不同的化學濾網具有不同的壽命和更換周期，需要檢測廠區實際濃度選擇適合的濾網，以避免過早更換或使用過期的濾網導致過濾效果下降。 總之，在選擇合適的化學濾網時，需要綜合考慮應用領域、污染物質、過濾系統的要求和限制以及濾網的壽命和更換周期等多方面的因素，以確保選擇的濾網能夠達到預期的過濾效果，提高產品質量和生產效率。
"
濾能化學濾網的三優勢,"1．產品差異化

模組化抽取式化學濾網，結合3R理念的環保型產品，Reduce-濾網廢棄物減量、Reuse-框體可重複使用、Regenerate-濾網再生重複使用
依不同環境提供不同的濾網配對，模組化濾網可單層汰換，幫客戶減少框體費用支出、提升更換濾網效率與準確性。
2．全方位服務

了解客戶需求
全台唯一TAF-17025認證的環境氣體濃度檢測實驗室
對客戶實際的需求規劃對應的解決方案
環境定期檢測
產品回收再生
3．節省人力維運成本
較不費工且安全，且省去約40％的人力。
"
"06 為何選擇濾能?1．Go Clean, Think Green","濾能以成為「全球性綠色企業」為發展的願景，持續秉持「Go Clean, Think Green」的企業精神。濾能的化學濾網採用可再生、可循環材料製成，符合綠色生產的要求。採用的材料經過嚴格篩選和測試，有效地過濾污染物質，同時減少對環境的負面影響。此外，還可以進行循環使用，減少了對環境的傷害，符合可持續發展的理念"
為何選擇濾能?Must To Have,面對全球發展淨零碳排的不可逆趨勢，企業內化環境永續的作為已經從nice to have轉換為must to have。首先，在產品減碳上，濾能以環保模組化濾網為主軸，透過產品可拆式設計，取代傳統整組固定式濾網結構，不但框體可重複使用，也可透過單層替換吸附效能飽和的濾網，有效降低客戶AMC維運成本40%，以及減少60%濾網廢棄物；此外，濾網低壓損設計，也有效降低運作過程中風機耗能，協助客戶減碳再升級！
ESG 創造永續三贏,"濾能自2021年起即推動ESG，不僅倡議綠色循環之產品與服務，更要實踐資源循環再利用，透過綠色思維展現潔淨能力。且以「完成碳中和&RE100」、「濾能/客戶/環境-理念」以及「納入Secure Critical， Secure Green之永續發展目標」做為行動方案，創造永續三贏。
"
環境保護（Environmental）,"代表企業需重視環境永續議題，涵蓋溫室氣體排放、減少碳排放、氣候變遷、環境永續、碳排放量、汙染處理等。

濾能行動方案：自2014年成立迄今已協助客戶減廢超過3000噸，減少碳排放超過10，000噸!濾能以綠色永續之關鍵產品服務、工作場域，以「完成碳中和&RE100（100％再生能源）」為行動目標。
"
社會責任（Social）,涵蓋包括企業如何管理與員工、供應商、客戶和、工作環境、資訊安全、 供應商、社區計畫等。濾能行動方案：將「濾能、客戶、環境」三贏的理念，轉化為濾能員工的DNA，從而響應環境安全、潔淨。
公司治理（Governance）,"涵蓋公司管理高層、主管薪酬、審計、內部控管、股東權利、企業道德 、資訊透明、董事多元、企業合規等議題。

濾能行動方案：將「Secure Critical， Secure Green（關鍵確保，極致低碳，近乎苛求）」之所有相關永續發展目標，納入公司未來的發展目標與決策，並營造幸福安全安心工作場域。
"
濾能微汙染防治服務,"濾能於2014年成立，提供微污染（AMC, Airborne Molecular Contamination）防治服務，透過濾網的材料研發創新，防止空氣中看不見的氣體分子飄落，避免在無塵室內造成污染導致設備耗材的多次更換，或良率低落的晶圓產生。在每步驟都極為精細的先進製程晶圓片的製造過程中，扮演控制成本的關鍵角色。"
董事長黃銘文,創辦人暨董事長黃銘文是中山大學化學碩士，研究所時期即專攻微量儀器分析，研究在空氣中肉眼難辨的氣體分子。畢業後，黃銘文加入台積電分析部門，專門找出空氣中的污染源並加以阻絕，也曾效力於瑞典濾網大廠康法（Camfil），職涯上一路都與微污染防治有關。自濾能創業初期還窩在小鐵皮裡創業開始，便與黃銘文相識的資誠會計師事務所合夥會計師于智帆形容，黃銘文雖然是白手起家的中小企業老闆，但聊起來相當務實，「也不是那種很悶的工程師。」
抽取式設計的濾網，先破壞再創新,"濾能採取的是抽取式設計，單片濾網不到1公斤，更換時只要抽出替換部分即可，就像抽出電腦內顯卡一樣簡單，無需更換整個模組。「氣密性」是不少濾網開發者相當重視的概念，因此抽取式的設計從根本上來說是種強烈的挑戰，濾能的作法則是透過材料著手，在符合晶圓廠氣密的標準下，研發出最適合的濾材以達到更好的微污染防治效果，而非以密封為核心。黃銘文分析：「因為我們不是由小做到大的濾網廠，是半路殺進去的廠商，會覺得『 這就簡單啊！』的想法。」
"
